Pos,PPG,APG,RPG,Label
C,4.525,0.8375,5.3875,Reserva
PG,15.455696202531646,6.265822784810126,2.848101265822785,Role Player
SF,14.08974358974359,1.858974358974359,3.91025641025641,Role Player
PG,17.893333333333334,6.04,4.346666666666667,Role Player
PF,10.48780487804878,1.7317073170731707,4.560975609756097,Reserva
PG,4.097560975609756,0.951219512195122,0.6097560975609756,Reserva
SG,3.73015873015873,0.365079365079365,2.1904761904761907,Reserva
PF,8.816666666666666,0.4,6.216666666666667,Role Player
SG,11.493827160493828,1.530864197530864,3.9012345679012346,Reserva
PF,4.277777777777778,1.0185185185185186,2.351851851851852,Reserva
SF,11.871794871794872,1.8333333333333333,3.782051282051282,Reserva
SG,15.707317073170731,4.439024390243903,4.536585365853658,Role Player
SF,8.694444444444445,0.5555555555555556,5.027777777777778,Reserva
PG,5.580246913580247,2.45679012345679,1.2592592592592593,Reserva
PG,4.25925925925926,5.481481481481482,1.648148148148148,Reserva
SF,14.170731707317072,1.670731707317073,5.0,Role Player
PF,3.9615384615384617,0.3461538461538461,2.1538461538461537,Reserva
SF,25.17721518987342,3.886075949367088,11.50632911392405,All-Star
PG,9.65432098765432,2.5308641975308643,1.6296296296296295,Reserva
SG,10.9,2.566666666666667,1.65,Reserva
SG,4.101694915254237,0.6440677966101694,2.101694915254237,Reserva
C,2.8095238095238093,0.0952380952380952,1.380952380952381,Reserva
C,13.507042253521126,2.23943661971831,9.253521126760564,Role Player
SF,6.1454545454545455,0.9818181818181818,3.418181818181818,Reserva
SF,24.266666666666666,7.493333333333333,9.493333333333334,All-Star
C,2.0851063829787235,0.5319148936170213,2.297872340425532,Reserva
SG,19.4,3.6125,3.5,Role Player
PG,10.1,4.2,2.8,Role Player
PG,9.419753086419751,10.703703703703704,2.555555555555556,All-Star
C,1.9466666666666668,0.48,3.68,Reserva
SG,4.303030303030303,1.4545454545454546,1.7878787878787878,Reserva
C,14.676470588235292,1.338235294117647,10.147058823529411,All-Star
SF,5.909090909090909,0.3636363636363636,1.818181818181818,Reserva
C,8.91358024691358,1.1975308641975309,5.148148148148148,Reserva
C,6.628205128205129,1.3461538461538465,4.1923076923076925,Reserva
PG,4.430555555555555,2.875,0.8888888888888888,Reserva
SF,7.266666666666667,0.6666666666666666,3.08,Reserva
C,6.243902439024391,0.573170731707317,4.548780487804878,Reserva
PF,1.0,0.25,0.9375,Reserva
SF,3.5901639344262297,0.6721311475409836,1.180327868852459,Reserva
SF,2.3125,0.1875,1.625,Reserva
PF,2.896551724137931,0.2241379310344827,2.5172413793103448,Reserva
C,1.3333333333333333,0.0,0.6666666666666666,Reserva
SG,1.2777777777777777,0.5555555555555556,0.3888888888888889,Reserva
C,0.4615384615384615,0.0769230769230769,0.6923076923076923,Reserva
C,9.731707317073171,0.8536585365853658,10.01219512195122,Role Player
PF,1.9019607843137247,0.1372549019607843,2.1372549019607843,Reserva
SG,23.20731707317073,2.597560975609756,5.5,Role Player
SG,0.4,1.0,0.0,Reserva
PF,12.324675324675324,1.5454545454545454,4.181818181818182,Reserva
C,10.013157894736842,1.2763157894736843,5.828947368421052,Role Player
C,11.422535211267606,2.0422535211267605,6.549295774647887,Role Player
PF,19.39189189189189,0.972972972972973,7.608108108108108,Role Player
PF,27.17283950617284,2.345679012345679,7.049382716049383,All-Star
SG,17.5,2.4444444444444446,3.314814814814815,Role Player
PG,9.74074074074074,5.592592592592593,2.962962962962963,Role Player
SF,5.327272727272727,0.5636363636363636,1.6363636363636365,Reserva
PF,5.727272727272728,0.5454545454545454,3.954545454545455,Reserva
PG,4.945205479452055,2.0273972602739727,2.410958904109589,Reserva
PG,7.902439024390244,4.695121951219512,3.231707317073171,Role Player
SG,6.4375,2.6875,2.8375,Reserva
C,3.810126582278481,0.5569620253164557,4.291139240506329,Reserva
SG,3.217391304347826,0.391304347826087,0.4347826086956521,Reserva
SF,14.670731707317072,2.6341463414634148,7.365853658536586,Role Player
C,3.6666666666666665,0.3333333333333333,3.0,Reserva
C,4.72972972972973,0.3513513513513513,2.5135135135135136,Reserva
PF,22.444444444444443,2.703703703703704,8.358024691358025,All-Star
SG,15.970149253731345,2.373134328358209,2.5074626865671643,Role Player
SG,8.233333333333333,1.1333333333333333,1.7,Reserva
SF,14.71111111111111,1.7777777777777777,3.8222222222222224,Role Player
C,16.829268292682926,3.1707317073170733,9.097560975609756,All-Star
PG,6.438356164383562,3.315068493150685,1.273972602739726,Reserva
SF,2.452830188679245,0.3396226415094339,1.528301886792453,Reserva
PF,4.73015873015873,0.3968253968253968,3.634920634920635,Reserva
SG,17.492753623188406,2.246376811594203,2.5942028985507246,Role Player
PG,14.34567901234568,7.419753086419753,3.049382716049383,Role Player
SG,9.723684210526317,3.289473684210526,2.6052631578947367,Reserva
PG,3.484848484848485,2.272727272727273,1.2121212121212122,Reserva
C,8.548780487804878,0.9146341463414634,6.243902439024391,Role Player
C,9.10958904109589,0.7808219178082192,8.63013698630137,Role Player
PG,14.25925925925926,7.641975308641975,2.54320987654321,Role Player
SF,2.4444444444444446,0.3333333333333333,1.6666666666666667,Reserva
C,1.326530612244898,0.1632653061224489,1.7755102040816326,Reserva
PG,5.225,2.7125,1.225,Reserva
SG,23.32876712328768,5.917808219178082,6.945205479452055,All-Star
C,16.182926829268293,1.1097560975609757,6.2073170731707314,Role Player
PF,5.46875,0.609375,6.609375,Reserva
SG,17.8,4.906666666666666,2.8266666666666667,Role Player
PG,3.4,2.0,0.4,Reserva
SF,1.7538461538461538,0.6615384615384615,2.123076923076923,Reserva
SG,13.525641025641026,2.333333333333333,2.243589743589744,Reserva
C,4.817073170731708,0.4756097560975609,7.329268292682927,Role Player
SF,8.865853658536585,1.7682926829268293,3.0609756097560976,Reserva
C,14.5,0.7682926829268293,4.2073170731707314,Role Player
SG,1.75,1.0,0.5,Reserva
SG,12.025641025641026,3.230769230769231,3.615384615384616,Role Player
SG,13.604938271604938,4.580246913580247,5.419753086419753,Role Player
SF,10.0,1.9012345679012344,3.6666666666666665,Reserva
SG,23.509090909090908,2.0,4.327272727272727,Role Player
C,7.970588235294118,1.911764705882353,5.764705882352941,Role Player
SF,17.9125,2.8125,3.575,Role Player
C,28.621951219512194,2.2195121951219514,10.890243902439025,Superstar
SG,6.394736842105263,0.6578947368421053,1.131578947368421,Reserva
SF,0.8571428571428571,0.1428571428571428,0.5,Reserva
PG,14.341463414634148,7.439024390243903,3.926829268292683,Role Player
PG,12.195121951219512,7.317073170731708,2.414634146341464,Role Player
PF,9.545454545454543,1.103896103896104,5.0,Reserva
SG,1.1111111111111112,2.888888888888889,0.5555555555555556,Reserva
SF,5.098591549295775,1.676056338028169,1.5774647887323945,Reserva
PG,7.265822784810126,3.835443037974684,2.7088607594936707,Reserva
SG,6.958904109589041,3.958904109589041,2.219178082191781,Reserva
PF,5.904761904761905,0.6190476190476191,3.126984126984127,Reserva
PF,11.952380952380953,0.3809523809523809,3.095238095238096,Reserva
PF,16.723684210526315,1.3026315789473684,7.881578947368421,Role Player
C,13.728395061728396,1.5802469135802468,8.481481481481481,Role Player
PG,13.068181818181818,10.045454545454543,4.431818181818182,All-Star
PG,3.1044776119402986,2.5074626865671643,0.8805970149253731,Reserva
PF,8.197530864197532,1.617283950617284,4.222222222222222,Reserva
PF,13.3875,2.8375,7.8625,Role Player
C,2.0,0.3275862068965517,2.5,Reserva
SF,7.71830985915493,1.5070422535211268,3.056338028169014,Reserva
PF,12.939024390243905,1.0975609756097562,8.682926829268293,Role Player
PG,3.536231884057971,2.63768115942029,0.782608695652174,Reserva
C,10.424657534246576,1.356164383561644,8.054794520547945,Role Player
PF,1.6216216216216215,0.3243243243243243,2.108108108108108,Reserva
SG,8.939024390243903,0.7682926829268293,2.024390243902439,Reserva
PG,4.558139534883721,1.8604651162790693,1.186046511627907,Reserva
PF,5.388059701492537,0.3880597014925373,4.477611940298507,Reserva
PF,5.262295081967213,0.8360655737704918,2.7540983606557377,Reserva
SG,7.617283950617284,1.839506172839506,2.8271604938271606,Reserva
PF,6.172839506172839,2.2962962962962963,2.555555555555556,Reserva
PG,14.708860759493673,8.721518987341772,3.924050632911392,All-Star
PG,17.963414634146343,7.426829268292683,2.975609756097561,All-Star
SG,22.8,5.2,5.885714285714286,All-Star
SG,2.066666666666667,0.0666666666666666,0.6666666666666666,Reserva
PF,1.05,0.2,0.8,Reserva
SG,18.47560975609756,3.182926829268293,3.707317073170732,Role Player
PG,2.3684210526315788,1.2982456140350878,0.7543859649122807,Reserva
SF,1.2727272727272727,0.2727272727272727,0.3636363636363636,Reserva
PF,11.085365853658535,1.5731707317073171,5.146341463414634,Role Player
PF,15.04,0.88,6.88,Role Player
SG,6.4603174603174605,1.746031746031746,0.8412698412698413,Reserva
PG,1.8125,1.0,0.125,Reserva
C,4.0,0.6,3.6,Reserva
SG,15.835443037974684,1.9113924050632911,3.5316455696202533,Role Player
C,1.457142857142857,0.0571428571428571,1.6857142857142855,Reserva
SG,17.597014925373134,5.029850746268656,4.6716417910447765,Role Player
PF,4.488888888888889,0.4222222222222222,2.4,Reserva
PG,3.4833333333333334,1.933333333333333,1.1666666666666667,Reserva
PG,15.271604938271604,5.827160493827161,3.320987654320988,Role Player
SG,5.16,0.94,1.48,Reserva
SG,2.392857142857143,0.4642857142857143,0.8571428571428571,Reserva
PG,9.865853658536585,7.365853658536586,3.8780487804878048,Role Player
PG,0.5882352941176471,0.4705882352941176,0.4117647058823529,Reserva
PG,2.641509433962264,3.056603773584906,0.8113207547169812,Reserva
SF,14.817073170731708,3.073170731707317,4.646341463414634,Role Player
PG,7.08,6.466666666666667,2.68,Role Player
SF,16.875,1.671875,3.84375,Role Player
PG,1.125,1.3333333333333333,0.5833333333333334,Reserva
PG,22.5,11.432432432432432,3.6486486486486487,Superstar
PG,22.34177215189873,11.481012658227847,6.6075949367088604,Superstar
SF,4.0,0.9,1.7,Reserva
C,4.68,0.68,2.12,Reserva
SG,9.804878048780488,3.109756097560976,3.1219512195121952,Reserva
PF-SF,2.1904761904761907,0.0476190476190476,1.0952380952380951,Reserva
SG,2.9545454545454546,0.4393939393939394,1.2424242424242424,Reserva
PF,2.4027777777777777,0.2777777777777778,3.1944444444444446,Reserva
C,3.1604938271604937,1.7160493827160497,6.222222222222222,Reserva
SG,33.573170731707314,6.329268292682927,6.890243902439025,Superstar
PF,6.481481481481482,0.3209876543209876,4.271604938271605,Reserva
PF,5.394366197183099,1.6619718309859155,3.0704225352112675,Reserva
PG,6.666666666666667,3.17948717948718,1.2564102564102564,Reserva
SF,15.975609756097562,2.292682926829268,8.414634146341463,Role Player
SF,8.7625,1.1,3.1625,Reserva
PG,1.6,0.5,0.7,Reserva
SF,22.402439024390244,4.585365853658536,4.926829268292683,Role Player
PF,8.878048780487806,1.0609756097560976,4.682926829268292,Reserva
C,3.23943661971831,1.0704225352112675,5.309859154929577,Reserva
C,5.37037037037037,0.5679012345679012,4.382716049382716,Reserva
C,3.6666666666666665,0.4259259259259259,4.185185185185185,Reserva
PF,1.9824561403508767,0.3684210526315789,1.2456140350877194,Reserva
PF,7.0,1.5625,4.75,Reserva
C,12.11111111111111,2.111111111111111,9.62962962962963,Role Player
PF,4.985074626865671,1.5671641791044777,5.388059701492537,Reserva
C,3.4864864864864864,0.2837837837837837,3.6621621621621614,Reserva
SG,1.5,0.75,1.0,Reserva
C,4.298701298701299,0.2467532467532467,2.493506493506493,Reserva
SG,2.5454545454545454,0.5454545454545454,0.7272727272727273,Reserva
