Player,Pos,PPG,APG,RPG
Jay Edwards,SG,1.75,1.0,0.5
Kevin Edwards,SG,12.025641025641026,3.230769230769231,3.615384615384616
Craig Ehlo,SG,13.604938271604938,4.580246913580247,5.419753086419753
Sean Elliott,SF,10.0,1.9012345679012344,3.6666666666666665
Dale Ellis,SG,23.509090909090908,2.0,4.327272727272727
Pervis Ellison,C,7.970588235294118,1.911764705882353,5.764705882352941
Alex English*,SF,17.9125,2.8125,3.575
Patrick Ewing*,C,28.621951219512194,2.2195121951219514,10.890243902439025
Jim Farmer,SG,6.394736842105263,0.6578947368421053,1.131578947368421
Duane Ferrell,SF,0.8571428571428571,0.1428571428571428,0.5
Vern Fleming,PG,14.341463414634148,7.439024390243903,3.926829268292683
Sleepy Floyd,PG,12.195121951219512,7.317073170731708,2.414634146341464
Tellis Frank,PF,9.545454545454543,1.103896103896104,5.0
Corey Gaines,SG,1.1111111111111112,2.888888888888889,0.5555555555555556
Kevin Gamble,SF,5.098591549295775,1.676056338028169,1.5774647887323945
Winston Garland,PG,7.265822784810126,3.835443037974684,2.7088607594936707
Tom Garrick,SG,6.958904109589041,3.958904109589041,2.219178082191781
Kenny Gattison,PF,5.904761904761905,0.6190476190476191,3.126984126984127
Derrick Gervin,PF,11.952380952380953,0.3809523809523809,3.095238095238096
Armen Gilliam,PF,16.723684210526315,1.3026315789473684,7.881578947368421
Mike Gminski,C,13.728395061728396,1.5802469135802468,8.481481481481481
Gary Grant,PG,13.068181818181818,10.045454545454543,4.431818181818182
Greg Grant,PG,3.1044776119402986,2.5074626865671643,0.8805970149253731
Harvey Grant,PF,8.197530864197532,1.617283950617284,4.222222222222222
Horace Grant,PF,13.3875,2.8375,7.8625
Stuart Gray,C,2.0,0.3275862068965517,2.5
Jeff Grayer,SF,7.71830985915493,1.5070422535211268,3.056338028169014
A.C. Green,PF,12.939024390243905,1.0975609756097562,8.682926829268293
Rickey Green,PG,3.536231884057971,2.63768115942029,0.782608695652174
Sidney Green,C,10.424657534246576,1.356164383561644,8.054794520547945
Dave Greenwood,PF,1.6216216216216215,0.3243243243243243,2.108108108108108
Darrell Griffith,SG,8.939024390243903,0.7682926829268293,2.024390243902439
Scott Haffner,PG,4.558139534883721,1.8604651162790693,1.186046511627907
Jack Haley,PF,5.388059701492537,0.3880597014925373,4.477611940298507
Tom Hammonds,PF,5.262295081967213,0.8360655737704918,2.7540983606557377
Bob Hansen,SG,7.617283950617284,1.839506172839506,2.8271604938271606
Bill Hanzlik,PF,6.172839506172839,2.2962962962962963,2.555555555555556
Tim Hardaway,PG,14.708860759493673,8.721518987341772,3.924050632911392
Derek Harper,PG,17.963414634146343,7.426829268292683,2.975609756097561
Ron Harper,SG,22.8,5.2,5.885714285714286
Steve Harris,SG,2.066666666666667,0.0666666666666666,0.6666666666666666
Scott Hastings,PF,1.05,0.2,0.8
Hersey Hawkins,SG,18.47560975609756,3.182926829268293,3.707317073170732
Gerald Henderson,PG,2.3684210526315788,1.2982456140350878,0.7543859649122807
Mike Higgins,SF,1.2727272727272727,0.2727272727272727,0.3636363636363636
Rod Higgins,PF,11.085365853658535,1.5731707317073171,5.146341463414634
Roy Hinson,PF,15.04,0.88,6.88
Craig Hodges,SG,6.4603174603174605,1.746031746031746,0.8412698412698413
Mike Holton,PG,1.8125,1.0,0.125
Dave Hoppen,C,4.0,0.6,3.6
Dennis Hopson,SG,15.835443037974684,1.9113924050632911,3.5316455696202533
Tito Horford,C,1.457142857142857,0.0571428571428571,1.6857142857142855
Jeff Hornacek,SG,17.597014925373134,5.029850746268656,4.6716417910447765
Ed Horton,PF,4.488888888888889,0.4222222222222222,2.4
Eddie Hughes,PG,3.4833333333333334,1.933333333333333,1.1666666666666667
Jay Humphries,PG,15.271604938271604,5.827160493827161,3.320987654320988
Byron Irvin,SG,5.16,0.94,1.48
Jaren Jackson,SG,2.392857142857143,0.4642857142857143,0.8571428571428571
Mark Jackson,PG,9.865853658536585,7.365853658536586,3.8780487804878048
Michael Jackson,PG,0.5882352941176471,0.4705882352941176,0.4117647058823529
Avery Johnson,PG,2.641509433962264,3.056603773584906,0.8113207547169812
Buck Johnson,SF,14.817073170731708,3.073170731707317,4.646341463414634
Dennis Johnson*,PG,7.08,6.466666666666667,2.68
Eddie Johnson,SF,16.875,1.671875,3.84375
Eric Johnson,PG,1.125,1.3333333333333333,0.5833333333333334
Kevin Johnson,PG,22.5,11.432432432432432,3.6486486486486487
Magic Johnson*,PG,22.34177215189873,11.481012658227847,6.6075949367088604
Marques Johnson,SF,4.0,0.9,1.7
Steve Johnson,C,4.68,0.68,2.12
Vinnie Johnson,SG,9.804878048780488,3.109756097560976,3.1219512195121952
Nate Johnston,PF-SF,2.1904761904761907,0.0476190476190476,1.0952380952380951
Anthony Jones,SG,2.9545454545454546,0.4393939393939394,1.2424242424242424
Caldwell Jones,PF,2.4027777777777777,0.2777777777777778,3.1944444444444446
Charles Jones,C,3.1604938271604937,1.7160493827160497,6.222222222222222
Michael Jordan*,SG,33.573170731707314,6.329268292682927,6.890243902439025
Shawn Kemp,PF,6.481481481481482,0.3209876543209876,4.271604938271605
Tim Kempton,PF,5.394366197183099,1.6619718309859155,3.0704225352112675
Steve Kerr,PG,6.666666666666667,3.17948717948718,1.2564102564102564
Jerome Kersey,SF,15.975609756097562,2.292682926829268,8.414634146341463
Randolph Keys,SF,8.7625,1.1,3.1625
Stan Kimbrough,PG,1.6,0.5,0.7
Bernard King*,SF,22.402439024390244,4.585365853658536,4.926829268292683
Stacey King,PF,8.878048780487806,1.0609756097560976,4.682926829268292
Greg Kite,C,3.23943661971831,1.0704225352112675,5.309859154929577
Joe Kleine,C,5.37037037037037,0.5679012345679012,4.382716049382716
Jon Koncak,C,3.6666666666666665,0.4259259259259259,4.185185185185185
Frank Kornet,PF,1.9824561403508767,0.3684210526315789,1.2456140350877194
Larry Krystkowiak,PF,7.0,1.5625,4.75
Bill Laimbeer,C,12.11111111111111,2.111111111111111,9.62962962962963
Jerome Lane,PF,4.985074626865671,1.5671641791044777,5.388059701492537
Andrew Lang,C,3.4864864864864864,0.2837837837837837,3.6621621621621614
Jeff Lebo,SG,1.5,0.75,1.0
Eric Leckner,C,4.298701298701299,0.2467532467532467,2.493506493506493
Tim Legler,SG,2.5454545454545454,0.5454545454545454,0.7272727272727273
Gary Leonard,C,1.4545454545454546,0.0454545454545454,1.2272727272727273
Jim Les,PG,3.2857142857142856,3.0,1.0
Clifford Lett,PG,1.0,0.25,0.0
Fat Lever,SG,18.26582278481013,6.544303797468355,9.291139240506327
Cliff Levingston,PF,6.88,1.0666666666666669,4.253333333333333
Ralph Lewis,SG,1.4285714285714286,0.0,0.8571428571428571
Reggie Lewis,SG,16.962025316455698,2.848101265822785,4.39240506329114
Todd Lichti,SG,7.974683544303797,1.4683544303797469,1.9113924050632911
Alton Lister,C,4.0,0.6666666666666666,2.6666666666666665
Lewis Lloyd,SG,3.2857142857142856,0.5238095238095238,0.8571428571428571
Brad Lohaus,PF,9.15,2.1,4.975
Grant Long,PF,8.469135802469136,1.1851851851851851,4.962962962962963
John Long,SG,8.416666666666666,1.7708333333333333,1.7291666666666667
Sidney Lowe,PG,2.3375,4.2125,2.0375
John Lucas,PG,5.836734693877551,4.857142857142857,1.836734693877551
Rick Mahorn,PF,10.813333333333333,1.3066666666666666,7.573333333333333
Dan Majerle,SG,11.082191780821915,2.5753424657534247,5.890410958904109
Jeff Malone,SG,24.266666666666666,3.24,2.7466666666666666
Karl Malone*,PF,30.97560975609756,2.756097560975609,11.109756097560975
Moses Malone*,C,18.8641975308642,1.6049382716049383,10.024691358024691
Danny Manning,PF,16.253521126760564,2.6338028169014085,5.943661971830986
Roy Marble,SG,2.125,0.4583333333333333,1.0
Sarunas Marciulionis*,SG,12.066666666666666,1.6133333333333333,2.9466666666666668
Jeff Martin,SG,6.27536231884058,0.6376811594202898,2.3043478260869565
Anthony Mason,PF,1.761904761904762,0.3333333333333333,1.619047619047619
Wes Matthews,PG,4.0,5.0,0.0
Vernon Maxwell,SG,9.037974683544304,3.746835443037975,2.8860759493670884
Bob McCann,SF,2.6,0.6,1.2
Mel McCants,SF,1.6923076923076923,0.1538461538461538,0.4615384615384615
George McCloud,SF,2.6818181818181817,1.0227272727272727,0.9545454545454546
Tim McCormick,C,1.6666666666666667,0.1666666666666666,1.5
Rodney McCray,SF,16.5609756097561,4.597560975609756,8.158536585365853
Xavier McDaniel,SF,21.318840579710145,2.4782608695652173,6.478260869565218
Mike McGee,SF,7.285714285714286,1.1428571428571428,2.571428571428572
Kevin McHale*,PF,20.87804878048781,2.097560975609756,8.25609756097561
Derrick McKey,SF,15.675,2.3375,6.1125
Carlton McKinney,SG,2.571428571428572,1.0,1.7142857142857142
Nate McMillan,SG,6.378048780487805,7.292682926829267,4.914634146341464
Mark McNamara,C,3.090909090909091,0.0909090909090909,1.9090909090909087
Scott Meents,PF,2.1153846153846154,0.2692307692307692,1.1538461538461535
Reggie Miller*,SG,24.585365853658537,3.792682926829268,3.597560975609756
Sam Mitchell,PF,12.65,1.1125,5.775
Paul Mokeski,C,3.973684210526316,0.4473684210526316,2.6052631578947367
Johnny Moore,PG,2.2264150943396226,1.5471698113207548,0.981132075471698
Chris Morris,SF,14.8375,1.7875,5.275
Mike Morrison,SG,2.0,0.3055555555555556,0.5555555555555556
John Morton,SG,3.945945945945946,1.8108108108108107,0.8648648648648649
Chris Mullin*,SF,25.07692307692308,4.089743589743589,5.935897435897436
Tod Murphy,C,8.292682926829269,1.2926829268292683,6.878048780487805
Pete Myers,SG,4.6923076923076925,2.5961538461538463,1.8461538461538465
Larry Nance,PF,16.306451612903224,2.596774193548387,8.32258064516129
Calvin Natt,SF,4.071428571428571,0.6428571428571429,2.5
Ed Nealy,PF,2.260869565217391,0.6086956521739131,3.0
Chuck Nevitt,C,1.3333333333333333,0.3333333333333333,1.0
Johnny Newman,SF,12.9,2.25,2.3875
Kurt Nimphius,C,2.3684210526315788,0.1578947368421052,1.605263157894737
Dyron Nix,SF,1.95,0.25,1.3
Ken Norman,SF,16.114285714285714,2.2857142857142856,6.714285714285714
Charles Oakley,PF,14.57377049180328,2.39344262295082,11.918032786885243
Hakeem Olajuwon*,C,24.32926829268293,2.8536585365853657,14.01219512195122
Jawann Oldham,C,1.5,0.1666666666666666,2.6666666666666665
Jose Ortiz,PF,3.230769230769231,0.5384615384615384,1.1538461538461535
Robert Parish*,C,15.734177215189874,1.3037974683544304,10.075949367088608
Zarko Paspalj,SF,2.571428571428572,0.3571428571428571,1.0714285714285714
Jim Paxson,PG,6.388888888888889,1.9027777777777777,1.0694444444444444
John Paxson,PG,9.98780487804878,4.085365853658536,1.451219512195122
Kenny Payne,SF,3.257142857142857,0.2857142857142857,0.7428571428571429
Will Perdue,C,3.8181818181818175,0.5974025974025974,2.779220779220779
Sam Perkins,SF,15.86842105263158,2.3026315789473686,7.526315789473684
Tim Perry,C,4.233333333333333,0.2833333333333333,2.533333333333333
Chuck Person,SF,19.67532467532468,2.987012987012987,5.779220779220779
Jim Petersen,C,4.0,0.5348837209302325,3.72093023255814
Drazen Petrovic*,SG,7.571428571428571,1.5064935064935066,1.4415584415584417
Ricky Pierce,SG,23.033898305084747,2.254237288135593,2.830508474576271
Ed Pinckney,PF,4.701298701298701,0.8831168831168831,2.9220779220779223
Scottie Pippen*,SF,16.475609756097562,5.414634146341464,6.670731707317073
Olden Polynice,C,4.556962025316456,0.189873417721519,3.79746835443038
Terry Porter,PG,17.575,9.075,3.4
Paul Pressey,SG,11.017543859649123,4.280701754385965,3.017543859649123
Harold Pressley,SF,8.833333333333334,2.0694444444444446,4.291666666666667
Mark Price,PG,19.58904109589041,9.123287671232877,3.4383561643835616
Brian Quinnett,SG,1.2903225806451613,0.3548387096774194,0.9032258064516128
Kurt Rambis,PF,6.243243243243243,1.8243243243243243,7.094594594594595
Blair Rasmussen,C,12.358024691358024,1.0123456790123455,7.333333333333333
J.R. Reid,C,11.073170731707316,1.2317073170731707,8.426829268292684
Robert Reid,SF,5.75,1.25,2.0972222222222223
Jerry Reynolds,SF,12.805970149253731,2.6865671641791047,4.82089552238806
Glen Rice,SF,13.61038961038961,1.792207792207792,4.571428571428571
Pooh Richardson,PG,11.439024390243905,6.7560975609756095,2.6463414634146343
Mitch Richmond*,SG,22.05128205128205,2.858974358974359,4.615384615384615
David Rivers,PG,4.211538461538462,2.980769230769231,1.6346153846153846
Doc Rivers,PG,12.458333333333334,5.5,4.166666666666667
Fred Roberts,PF,10.451219512195122,1.7926829268292683,3.792682926829268
Alvin Robertson,SG,14.234567901234568,5.493827160493828,6.901234567901234
Clifford Robinson,PF,9.097560975609756,0.8780487804878049,3.7560975609756095
David Robinson*,C,24.304878048780488,2.0,11.98780487804878
Dennis Rodman*,SF,8.768292682926829,0.8780487804878049,9.658536585365852
Tree Rollins,C,2.6041666666666665,0.5,3.1875
Doug Roth,C,1.9285714285714288,0.4761904761904761,2.857142857142857
Scott Roth,SF,6.845070422535211,1.619718309859155,1.5774647887323945
Jim Rowinski,PF,3.571428571428572,0.3571428571428571,2.071428571428572
Brian Rowsom,PF,5.113636363636363,0.5,2.977272727272727
Donald Royal,SF,5.863636363636363,0.6515151515151515,2.075757575757576
Delaney Rudd,PG,3.5454545454545454,2.2987012987012987,0.7142857142857143
John Salley,PF,7.23170731707317,0.8170731707317073,5.353658536585366
Ralph Sampson*,C,4.1923076923076925,1.0769230769230769,3.230769230769231
Jeff Sanders,PF,0.9032258064516128,0.2903225806451613,1.2580645161290325
Mike Sanders,SF,6.219512195121951,1.0853658536585369,2.804878048780488
Danny Schayes,C,10.39622641509434,1.150943396226415,6.452830188679245
Detlef Schrempf,PF,16.243589743589745,3.1666666666666665,7.948717948717949
Byron Scott,SG,15.545454545454543,3.5584415584415585,3.142857142857143
Rony Seikaly,C,16.594594594594593,1.054054054054054,10.35135135135135
Brad Sellers,PF,4.47457627118644,0.559322033898305,1.5084745762711864
Charles Shackleford,C,8.185714285714285,0.8,6.842857142857143
John Shasky,C,0.7142857142857143,0.0714285714285714,0.9285714285714286
Purvis Short,SF,13.073170731707316,1.7682926829268293,3.024390243902439
Dexter Shouse,PG,0.0,0.6666666666666666,0.0
Jerry Sichting,PG,3.4571428571428573,2.685714285714285,0.5428571428571428
Jack Sikma,C,13.887323943661972,3.2253521126760565,6.929577464788732
Scott Skiles,PG,7.6571428571428575,4.771428571428571,2.271428571428572
Charles Smith,PG,2.85,1.7166666666666666,1.15
Charles Smith,PF,21.08974358974359,1.4615384615384617,6.717948717948718
Derek Smith,SF,8.906666666666666,1.4533333333333334,2.293333333333333
Kenny Smith,PG,11.936708860759492,5.632911392405063,1.9873417721518989
Larry Smith,PF,3.0,0.9324324324324323,6.108108108108108
Michael Smith,PF,5.030769230769231,1.2153846153846153,1.5384615384615383
Otis Smith,SF,13.461538461538462,2.261538461538461,4.615384615384615
Rik Smits,C,15.5,1.7317073170731707,6.243902439024391
Mike Smrek,C,1.6153846153846154,0.0769230769230769,2.6153846153846154
Rory Sparrow,PG,5.939024390243903,3.634146341463415,1.6829268292682926
John Stockton*,PG,17.243589743589745,14.538461538461538,2.641025641025641
Greg Stokes,PF,0.3636363636363636,0.0,0.4545454545454545
Rod Strickland,PG,10.585365853658535,5.7073170731707314,3.158536585365854
Jon Sundvold,SG,6.095238095238095,1.619047619047619,1.126984126984127
Roy Tarpley,PF,16.844444444444445,1.488888888888889,13.088888888888889
Jay Taylor,SG,3.0,0.2941176470588235,0.6470588235294118
Leonard Taylor,PF,1.1,0.1,1.2
Terry Teagle,SF,16.134146341463413,1.8902439024390243,4.475609756097561
Reggie Theus,SG,18.92105263157895,5.355263157894737,2.9078947368421053
Isiah Thomas*,PG,18.41975308641976,9.444444444444445,3.802469135802469
Billy Thompson,SF,10.974683544303796,2.1012658227848102,6.974683544303797
LaSalle Thompson,C,6.7560975609756095,1.2926829268292683,7.682926829268292
Mychal Thompson,C,10.085714285714284,0.6142857142857143,6.814285714285714
Bob Thornton,PF,2.196428571428572,0.3035714285714285,2.375
Otis Thorpe,PF,17.085365853658537,3.182926829268293,8.951219512195122
Sedale Threatt,PG,11.446153846153846,3.323076923076924,1.7692307692307692
Wayman Tisdale,PF,22.253164556962027,1.3670886075949369,7.531645569620253
Tom Tolbert,PF,8.8,0.8285714285714286,5.185714285714286
Sedric Toney,PG,4.125,2.71875,0.9375
Kelly Tripucka,SF,15.59493670886076,2.835443037974684,4.075949367088608
Trent Tucker,SG,8.234567901234568,2.135802469135802,2.1481481481481484
Andre Turner,PG,2.363636363636364,2.090909090909091,0.7272727272727273
Henry Turner,PF,4.333333333333333,0.6111111111111112,1.3888888888888888
Jeff Turner,PF,5.133333333333334,0.8833333333333333,3.783333333333333
Melvin Turpin,C,4.677966101694915,0.4576271186440678,3.745762711864407
Kelvin Upshaw,SG,4.0,1.35,1.025
Kiki Vandeweghe,SF,11.727272727272728,1.8636363636363635,2.409090909090909
Jay Vincent,SF,5.219512195121951,0.4390243902439024,1.5121951219512195
Sam Vincent,PG,11.19047619047619,5.619047619047619,3.0793650793650795
Gary Voce,PF,2.0,0.0,2.0
Alexander Volkov,C,4.958333333333333,1.1527777777777777,1.6527777777777777
Mark Wade,PG,0.0,2.0,0.0
Darrell Walker,PG,9.530864197530864,8.049382716049383,8.814814814814815
Kenny Walker,PF,7.867647058823529,0.7205882352941176,5.044117647058823
Spud Webb,PG,9.158536585365852,5.817073170731708,2.451219512195122
Chris Welp,C,2.4074074074074074,0.3333333333333333,1.7777777777777777
Bill Wennington,C,4.5,0.6833333333333333,3.3
Doug West,SG,2.5961538461538463,0.3461538461538461,1.3461538461538465
Mark West,C,10.5,0.5487804878048781,8.878048780487806
Randy White,PF,4.3090909090909095,0.3818181818181818,3.145454545454545
Mitchell Wiggins,SG,15.515151515151516,1.5757575757575757,4.333333333333333
Morlon Wiley,PG,5.725,2.85,1.3
Dominique Wilkins*,SF,26.725,2.5,6.5125
Eddie Lee,C,4.69620253164557,0.2025316455696202,3.354430379746836
Gerald Wilkins,SG,14.524390243902438,4.024390243902439,4.524390243902439
Buck Williams,PF,13.585365853658535,1.4146341463414631,9.75609756097561
Herb Williams,C,8.641975308641975,1.469135802469136,4.827160493827161
Hot Rod,PF,16.841463414634145,2.048780487804878,8.085365853658537
John Williams,SF,18.166666666666668,4.666666666666667,7.555555555555555
Micheal Williams,PG,5.571428571428571,2.892857142857143,1.1428571428571428
Mike Williams,PF-SF,0.7142857142857143,0.0952380952380952,1.0952380952380951
Reggie Williams,SF,6.808510638297872,1.127659574468085,1.7659574468085106
Kevin Willis,PF,12.419753086419751,0.7037037037037037,7.962962962962963
David Wingate,SG,6.756410256410256,2.6666666666666665,2.5
Randy Wittman,SF,2.1311475409836067,0.639344262295082,0.4918032786885246
Joe Wolf,C,4.805194805194805,0.8051948051948052,3.012987012987013
Leon Wood,SG,1.7857142857142858,1.6785714285714286,0.4285714285714285
Mike Woodson,SG,6.459016393442623,1.0819672131147542,1.4426229508196722
Orlando Woolridge,SF,12.709677419354838,1.5483870967741935,2.9838709677419355
Haywoode Workman,PG,1.0,0.3333333333333333,0.5
James Worthy*,SF,21.0625,3.6,5.975
Danny Young,PG,4.670731707317073,2.817073170731707,1.4878048780487805
Michael Young,SF,4.866666666666666,0.5333333333333333,1.9111111111111112
Alaa Abdelnaby,PF,3.13953488372093,0.2790697674418604,2.069767441860465
Mahmoud Abdul-Rauf,PG,14.059701492537313,3.074626865671642,1.805970149253732
Mark Acres,C,4.191176470588236,0.3676470588235294,5.279411764705882
Michael Adams,PG,26.545454545454547,10.5,3.878787878787879
Mark Aguirre,SF,14.153846153846152,1.7820512820512822,4.794871794871795
Danny Ainge,SG,11.125,3.5625,2.5625
Mark Alarie,PF,5.809523809523809,1.0714285714285714,2.7857142857142856
Steve Alford,PG,4.441176470588236,0.6470588235294118,0.7058823529411765
Greg Anderson,PF,4.294117647058823,0.2352941176470588,4.676470588235294
Nick Anderson,SG,14.142857142857142,1.5142857142857142,5.514285714285714
Ron Anderson,SF,14.609756097560975,1.4024390243902438,4.475609756097561
Willie Anderson,SG,14.44,4.773333333333333,4.68
Michael Ansley,SF,5.656716417910448,0.373134328358209,3.776119402985074
B.J. Armstrong,PG,8.78048780487805,3.670731707317073,1.817073170731708
Vincent Askew,SG,4.714285714285714,1.8571428571428568,1.5714285714285714
Keith Askins,SF,2.2051282051282053,0.4871794871794871,1.7435897435897436
Milos Babic,PF,1.5833333333333333,0.3333333333333333,0.75
Thurl Bailey,PF,12.402439024390244,1.5121951219512195,4.963414634146342
Cedric Ball,PF,1.1428571428571428,0.0,1.5714285714285714
Ken Bannister,PF,2.3617021276595747,0.1914893617021276,2.042553191489361
Charles Barkley*,SF,27.59701492537313,4.2388059701492535,10.149253731343284
Dana Barros,PG,6.333333333333333,1.681818181818182,1.0757575757575757
John Battle,SG,13.645569620253164,2.7468354430379747,2.0126582278481013
Kenny Battle,SG,6.053571428571429,1.1071428571428572,3.142857142857143
William Bedford,C,4.533333333333333,0.5333333333333333,2.183333333333333
Benoit Benjamin,C,14.028571428571428,1.7,10.32857142857143
Winston Bennett,SF,4.25925925925926,1.037037037037037,2.3703703703703702
Larry Bird*,SF,19.4,7.183333333333334,8.483333333333333
Rolando Blackman,SG,19.875,3.7625,3.2
